Tag,Tank,Date,BW,Temp,Sal,Notes
205,1,2020-08-12,6.969,27.8,32.2,
220,1,2020-08-12,4.7661,27.9,32.2,
226,1,2020-08-12,2.9241,28,32.1,
231,1,2020-08-12,4.6147,28.3,32.1,
247,1,2020-08-12,5.7754,28.2,32.1,
253,1,2020-08-12,11.1363,28.2,32.1,
262,1,2020-08-12,6.8745,27.8,32.1,
289,1,2020-08-12,10.6654,27.7,32.1,
291,1,2020-08-12,7.7934,27.7,32.1,
A001,1,2020-08-12,4.7567,28.3,32.5,
A007,1,2020-08-12,3.8841,28.2,32.5,
A009,1,2020-08-12,3.5872,28.3,32.5,
A019,1,2020-08-12,3.3229,28.5,32.2,
A022,1,2020-08-12,3.7615,28.5,32.2,
A024,1,2020-08-12,6.645,28.5,32.2,
A048,1,2020-08-12,3.3792,28.3,32.3,
A051,1,2020-08-12,5.5528,28.2,32.4,
A061,1,2020-08-12,6.2145,28.3,32.3,
A067,1,2020-08-12,5.5145,28.3,32.5,
A075,1,2020-08-12,3.9059,28.1,32.2,
A077,1,2020-08-12,4.2716,27.9,32.2,
A084,1,2020-08-12,4.9476,28,32.2,
A105,1,2020-08-12,4.0567,28.4,32.5,
A116,1,2020-08-12,4.1227,29.1,32.4,
A127,1,2020-08-12,4.6177,28.3,32.5,
A152,1,2020-08-12,7.7717,28.7,32.5,
A158,1,2020-08-12,5.1835,28.7,32.5,
A159,1,2020-08-12,4.3669,28.7,32.5,
A184,1,2020-08-12,4.3665,27.9,32.2,
A192,1,2020-08-12,3.7446,27.9,32.1,
A196,1,2020-08-12,3.3584,28,32.1,
211,2,2020-08-12,3.4208,27.8,32.2,
214,2,2020-08-12,4.935,27.9,32.2,
222,2,2020-08-12,7.2468,27.9,32.2,
237,2,2020-08-12,7.6464,28.2,32.1,
238,2,2020-08-12,5.3828,28.3,32.1,
239,2,2020-08-12,4.3814,28.2,32.1,
270,2,2020-08-12,7.6603,27.7,32.1,
282,2,2020-08-12,6.4007,27.8,32.1,
296,2,2020-08-12,9.8047,27.8,32.1,
A010,2,2020-08-12,3.7138,28.3,32.5,
A026,2,2020-08-12,3.1508,28.5,32.2,
A029,2,2020-08-12,6.5219,28.5,32.2,
A038,2,2020-08-12,3.6536,28.4,32.2,
A041,2,2020-08-12,7.2245,28,32.4,
A052,2,2020-08-12,3.6662,28.3,32.3,
A060,2,2020-08-12,5.6521,28,32.4,
A072,2,2020-08-12,4.3758,28.1,32.2,
A078,2,2020-08-12,5.126,28,32.2,
A083,2,2020-08-12,3.9764,27.9,32.2,
A097,2,2020-08-12,5.3851,28.3,32.5,
A101,2,2020-08-12,3.9621,28.3,32.5,
A111,2,2020-08-12,5.7755,28.3,32.5,
A114,2,2020-08-12,3.9593,29,32.4,
A131,2,2020-08-12,4.6767,28.3,32.5,
A134,2,2020-08-12,4.3243,28.2,32.5,
A157,2,2020-08-12,5.0376,28.8,32.5,
A161,2,2020-08-12,6.058,28.7,32.5,
A165,2,2020-08-12,4.2811,28.6,32.5,
A183,2,2020-08-12,4.6543,28.1,32.1,
A185,2,2020-08-12,3.5451,27.9,32.1,
A188,2,2020-08-12,3.8016,27.9,32.1,
201,3,2020-08-12,7.4844,27.9,32.2,
202,3,2020-08-12,6.0984,28,32.2,
215,3,2020-08-12,4.0687,27.8,32.2,
232,3,2020-08-12,7.5046,28.2,32.1,
254,3,2020-08-12,4.984,28.2,32.1,
258,3,2020-08-12,4.2627,28.3,32.1,
265,3,2020-08-12,8.5174,27.8,32.1,
269,3,2020-08-12,7.354,27.7,32.1,
293,3,2020-08-12,4.5065,27.8,32.2,
A011,3,2020-08-12,4.9609,28.3,32.5,
A014,3,2020-08-12,3.7547,28.1,32.5,
A018,3,2020-08-12,3.4396,28.4,32.2,
A021,3,2020-08-12,4.7364,28.5,32.2,
A036,3,2020-08-12,3.0075,28.4,32.2,
A039,3,2020-08-12,5.8936,28.2,32.4,
A056,3,2020-08-12,4.232,28,32.4,
A058,3,2020-08-12,7.6674,28.1,32.4,
A064,3,2020-08-12,4.4855,27.9,32.2,
A074,3,2020-08-12,6.3662,28,32.2,
A081,3,2020-08-12,3.993,28.1,32.2,
A094,3,2020-08-12,6.4241,28.2,32.5,
A100,3,2020-08-12,3.9338,28.2,32.5,
A106,3,2020-08-12,4.332,28.3,32.5,
A119,3,2020-08-12,4.2597,29.1,32.4,
A125,3,2020-08-12,3.7716,29.1,32.4,
A130,3,2020-08-12,6.2202,28.3,32.5,
A151,3,2020-08-12,3.9756,28.8,32.5,
A162,3,2020-08-12,4.6965,28.7,32.5,
A167,3,2020-08-12,6.0106,28.8,32.5,
A175,3,2020-08-12,6.7016,28,32.1,
A190,3,2020-08-12,3.6621,28.1,32.1,
A195,3,2020-08-12,3.9453,28.1,32.1,
204,4,2020-08-12,4.6097,27.9,32.2,
216,4,2020-08-12,6.4969,27.8,32.2,
235,4,2020-08-12,6.5566,28.3,32.1,
261,4,2020-08-12,3.3878,28.2,32.1,
266,4,2020-08-12,4.7236,28.3,32.1,
272,4,2020-08-12,3.7363,27.8,32.1,
284,4,2020-08-12,7.0853,27.7,32.1,
285,4,2020-08-12,8.1129,27.8,32.1,
A002,4,2020-08-12,4.0744,28.2,32.5,
A008,4,2020-08-12,3.8353,28.3,32.5,
A027,4,2020-08-12,4.5353,28.5,32.2,
A034,4,2020-08-12,2.7019,28.4,32.2,
A037,4,2020-08-12,3.3781,28.4,32.2,
A040,4,2020-08-12,8.5761,28,32.4,
A045,4,2020-08-12,4.4214,28.3,32.4,
A046,4,2020-08-12,5.9478,28.3,32.2,
A068,4,2020-08-12,4.0669,28.1,32.2,
A071,4,2020-08-12,4.4225,28.2,32.5,
A076,4,2020-08-12,4.5151,28,32.2,
A089,4,2020-08-12,7.4923,28,32.2,
A102,4,2020-08-12,5.1968,28.4,32.5,
A107,4,2020-08-12,4.2254,29.1,32.4,
A118,4,2020-08-12,3.6408,29.1,32.4,
A129,4,2020-08-12,7.0261,28.3,32.5,
A155,4,2020-08-12,4.4823,28.7,32.5,
