Time,Tank 1 ,Tank 2,Tank 3,Tank 4,Tank 5 ,Tank 6,Tank 7,Tank 8,Tank 9,Tank 10,Tank 11,Tank 12
07/27/2020 12:00:00,27.998854,28.026965,28.01995,28.034342,28.041783,28.043094,28.00846,27.990101,28.008574,28.049487,28.017147,28.04416
07/27/2020 12:05:00,28.059551,28.010705,28.053405,28.016737,28.006296,28.024277,27.992527,28.056224,27.992986,28.067157,27.993691,28.012951
07/27/2020 12:10:00,28.04911,27.99297,28.049471,27.993888,27.989561,28.000297,28.039275,28.015819,28.045143,28.042111,28.015098,27.977054
07/27/2020 12:15:00,28.028555,28.039718,28.035128,28.038587,28.054159,28.013475,28.071451,27.99415,28.035391,28.022032,28.053814,28.029932
07/27/2020 12:20:00,27.994232,28.048127,28.010787,28.053634,28.054175,28.015033,28.057535,28.05524,28.014377,27.990495,28.037849,28.063584
07/27/2020 12:25:00,28.004526,28.030883,27.999526,28.042537,28.033489,28.005739,28.032096,28.012902,27.998674,28.034669,28.009968,28.045406
07/27/2020 12:30:00,28.068009,28.012213,28.016213,28.021999,27.996297,28.003624,28.014016,27.988397,28.049159,28.057765,27.993544,28.022392
07/27/2020 12:35:00,28.055699,27.990462,28.059732,27.995953,28.007952,28.03262,27.995625,28.062469,28.040029,28.042931,28.041882,27.992773
07/27/2020 12:40:00,28.024244,28.034358,28.044094,28.022507,28.055306,28.032538,28.040587,28.029818,28.008443,28.006427,28.047323,28.015721
07/27/2020 12:45:00,27.996838,28.052716,28.023507,28.056781,28.043193,28.009328,28.063518,27.993347,27.988774,27.995134,28.02454,28.064829
07/27/2020 12:50:00,28.013803,28.027654,28.003395,28.054929,28.016819,27.998051,28.045324,28.051618,28.047176,28.039685,28.000477,28.061879
07/27/2020 12:55:00,28.069911,28.014344,27.988216,28.033292,27.988823,28.04257,28.018229,28.018262,28.048618,28.045668,28.003149,28.040849
07/27/2020 13:00:00,28.061666,27.994019,28.049782,28.011558,28.039456,28.048389,27.994199,27.988036,28.016393,28.018147,28.053159,28.00251
07/27/2020 13:05:00,28.033669,28.028031,28.071566,27.994314,28.065026,28.019376,28.014197,28.050831,27.988544,27.996297,28.049667,27.992511
07/27/2020 13:10:00,28.013902,28.054552,28.055978,28.013393,28.042881,28.005608,28.064633,28.017295,28.037702,28.028342,28.02454,28.057175
07/27/2020 13:15:00,27.98843,28.039767,28.034653,28.063125,28.011525,28.004985,28.060584,27.9912,28.034571,28.060469,27.996937,28.063666
07/27/2020 13:20:00,28.056257,28.01918,28.018065,28.062256,27.98802,28.029621,28.030211,28.065206,28.004214,28.039718,28.022736,28.039488
07/27/2020 13:25:00,28.066124,27.996756,28.002329,28.045537,28.058043,28.007607,28.008296,28.0289,27.996428,28.010017,28.046635,28.005788
07/27/2020 13:30:00,28.046799,28.023982,28.007673,28.021622,28.063829,27.989938,27.9882,27.997084,28.0507,27.997592,28.030916,27.985184
07/27/2020 13:35:00,28.016524,28.043013,28.038177,28.004575,28.03385,28.04216,28.039931,28.054191,28.040472,28.044455,27.999805,28.053273
07/27/2020 13:40:00,27.993511,28.035915,28.036308,28.002985,28.002952,28.050962,28.078991,28.021737,28.017721,28.05311,28.008706,28.062518
07/27/2020 13:45:00,28.031244,28.018721,28.01323,28.052634,27.991872,28.036423,28.065944,27.993953,27.990101,28.02413,28.048258,28.041291
07/27/2020 13:50:00,28.066944,27.99456,28.005558,28.056519,28.057519,28.009771,28.044799,28.045225,28.047356,28.001116,28.037456,28.009296
07/27/2020 13:55:00,28.052552,28.026179,28.00623,28.042144,28.05724,27.997986,28.017295,28.02513,28.039816,27.997068,28.01105,27.987069
07/27/2020 14:00:00,28.012426,28.047225,28.066124,28.019048,28.032375,28.053732,28.001985,27.990446,28.015442,28.06719,27.987872,28.034587
07/27/2020 14:05:00,27.992921,28.042881,28.074353,28.018016,28.004264,28.062879,27.992118,28.044471,27.988282,28.070714,28.05488,28.06619
07/27/2020 14:10:00,28.031998,28.02072,28.048405,28.015574,28.001772,28.03662,28.06696,28.016409,28.045029,28.043094,28.049356,28.046061
